ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position
22,simple,,"Mô hình khiên chiến đấu tấn công Iron man dòng Mech Strike",1,0,visible,,"Các siêu anh hùng Avengers cần những vũ khí mạnh mẽ mới nhất để chống lại những kẻ tấn công từ thiên hà. Khi các mối đe dọa đến với thế giới, trẻ em có thể tưởng tượng chúng sẽ trang bị cho Avengers các vũ khí tương ứng với mỗi ""vị khách không mời""!
\n
\nLiệu những vũ khí Mech Strike nâng cao này có đủ giúp Captain tiết kiệm thời gian chiến đấu không? Ngoài ra, vũ khí này cũng có thể gắn vào các Mech Strike Avengers khác để sáng tạo ra một trận chiến hoàn toàn mới!
\n
\nTHU THẬP trọn bộ nhân vật và thiết bị của Marvel Avengers để làm quà tặng tuyệt vời cho các bé trai và bé gái, bao gồm cả nhân vật Hulk, Black Panther và Iron Man!",,,taxable,,1,,,0,0,,,,,1,,649000,999000,"ĐỒ CHƠI THEO PHIM, ĐỒ CHƠI THEO PHIM > Siêu anh hùng",,,"http://localhost/ecomshop/wp-content/uploads/2023/11/mykingdom-f0266_1_-1.jpg, http://localhost/ecomshop/wp-content/uploads/2023/11/mykingdom-f0266_2_-1.jpg",,,,,,,,,0
23,simple,,"Túi đeo chéo Bum Bag DIY 3C4G 3C4G1461",1,0,visible,,"<h2>Túi Đeo Chéo Bum Bag Diy 3C4G 3C4G1461</h2>
\nTúi đeo chéo thời trang với sắc hồng ngọt ngào kết hợp cùng các vật trang trí giúp các bé có 1 chiếc túi DIY theo sở thích của riêng mình. Dây đeo đeo cầu vồng đáng yêu, có thể điều chỉnh cho phù hợp với các bé. Đây là món quà hoàn hảo dành cho những cô nàng sành điệu, bất kể dịp nào.
\n
\nBao gồm:
\n<ul>
\n 	<li>1 túi</li>
\n 	<li>6 miếng dán (chữ cái và trái tim)</li>
\n 	<li>1 miếng sticker đá quý</li>
\n 	<li>1 tờ hướng dẫn</li>
\n</ul>
\nThông số kỹ thuật:
\nChất liệu: vải si giả da, các miếng patch vải lông
\nKích thước: 18 x 12 x 10. Dây đeo có thể kéo dài tối đa 70cm
\nTrọng lượng (túi đeo): 100g
\n
\n<strong>Vài nét về thương hiệu:</strong>
\n
\n3C4G, có xuất xứ từ Vương quốc Anh, chuyên về các sản phẩm đồ chơi và làm đẹp dành cho bé gái. Thành phần của sản phẩm được làm từ thành phẩn tự nhiên, đảm bảo an toàn cho sức khỏe của bé.
\nThương hiệu : 3C4G
\nXuất Xứ : Anh Quốc",,,taxable,,1,,,0,0,,,,,1,,404000,449000,"Đồ thời trang",,,,,,,,,,,,0
25,simple,,"Kính mát thể thao Black Lime",1,0,visible,,"<h2>Kính Mát Trẻ Em KOOLSUN Thể Thao Black Lime SPBLLI006</h2>
\nMắt kính trẻ em KOOLSUN Black Lime SPBLLI006 có màu xanh mint tươi mát, đáng yêu, dáng mắt kính trẻ trung, phù hợp với lứa tuổi của các bé yêu. Sản phẩm hứa hẹn sẽ tạo nên cơn sốt mạnh mẽ đối với nhãn hiệu mắt kính dành cho trẻ em.
\n<ul>
\n 	<li>Sản phẩm mắt kính thời trang trẻ em KOOLSUN Black Lime SPBLLI006 có các đặc điểm nổi bật sau:</li>
\n 	<li>Màu sắc sản phẩm tươi sáng.</li>
\n 	<li>Chất liệu cao cấp, bền đẹp, an toàn, không chứa chất độc hại và chịu va đập tốt.</li>
\n 	<li>Tròng kính tráng gương độc đáo và chống tia UV cực tốt, mang đến cho bé những trải nghiệm tốt nhất.</li>
\n 	<li>Thiết kế mắt kính gọn nhẹ, tiện lợi, mang lại cảm giác thoải mái cho bé.</li>
\n 	<li>Kích thước vừa phải, phù hợp với kích thước khuôn mặt của các bé yêu.</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,1,,344000,382000,"Đồ thời trang",,,"http://localhost/ecomshop/wp-content/uploads/2023/11/spblli006_01.jpg, http://localhost/ecomshop/wp-content/uploads/2023/11/spblli006_02.jpg",,,,,,,,,0
26,simple,,"Túi Purse Pets - Bulldog cá tính",1,0,visible,,"<h2>Đồ Chơi PURSE PET Túi Bulldog Cá Tính 6065589</h2>
\nTúi Purse Pet mèo con xinh có đôi tai màu hồng cực cute. Chiếc túi màu hồng bắt mắt, đôi mắt to tròn lấy cảm hứng từ từ các nhân vật truyện tranh, dây đeo có thể điều chỉnh và phần điều chỉnh bằng kim loại thật.
\n- Sở hữu đôi mắt to tròn long lanh biết biểu lộ cảm xúc giúp thu hút mọi ánh nhìn, thú cưng còn có thể chớp mắt khi bé chạm vào đó nha
\n- Khám phá hơn 30 âm thanh làm nũng đáng yêu, tương tác giống hệt như một người bạn thú cưng thật thụ
\n- Khi bé di chuyển, thú cưng cũng sẽ chớp mắt và phát ra những âm thanh cực kỳ đáng yêu để tương tác với bé.
\n-Túi đeo sành điệu, sắc màu bắt mắt phù hợp với mọi trang phục của bé.
\nĐây chắc chắn sẽ là món phụ kiện thời trang độc đáo và thời thượng nhất dành cho bé yêu, giúp bé nổi bật và tự tin hơn.
\n•Tên thương hiệu : PURSE PET
\n•Xuất xứ thương hiệu : Canada
\n•Tuổi : 5+
\n•Giới tinh : Nữ",,,taxable,,1,,,0,0,,,,,1,,584000,899000,"Đồ thời trang",,,,,,,,,,,,0
27,simple,,"Ba lô Hoodie - Kỳ Lân Cầu Vồng Hồng",1,0,visible,,"<h2>Ba Lô Hoodie CLEVER HIPPO - Kỳ Lân Cầu Vồng BC3101/PINK</h2>
\nBa lô Hoodie với thiết kế Kì Lân Cầu Vồng có họa tiết đáng yêu, màu sắc ngọt ngào tươi sáng đi cùng điểm nhấn độc đáo là chiếc nón kì lân cực ""cute"" chắc chắn là lựa chọn không thể thiếu cho các bé trong nhiều hoạt động khác nhau dù là đi học hằng ngày hay đi chơi, dã ngoại...
\n- Kích thước sản phẩm: 15 x 29 x 36 (cm)
\n- Ba lô Hoodie còn là dòng sản phẩm mới dành cho lứa tuổi 3+ với các điểm nổi bật:
\n
\n<img src=""https://u6wdnj9wggobj.vcdn.cloud/media/wysiwyg/content/BC3101.jpg"" width=""1366"" height=""1153"" />
\n
\nĐây là thiết kế độc quyền từ Úc, thuộc nhãn hàng Clever Hippo - là thương hiệu cao cấp chuyên về ba lô, văn phòng phẩm và phụ kiện với chất lượng luôn đặt lên hàng đầu.",,,taxable,,1,,,0,0,,,,,1,,562000,624000,"Đồ thời trang > Balo - Túi - Ví, Đồ thời trang",,,"http://localhost/ecomshop/wp-content/uploads/2023/11/bc3101-mykingdom.jpg, http://localhost/ecomshop/wp-content/uploads/2023/11/mykingdom-balo-bc3101_1_.jpg",,,,,,,,,0
30,simple,,"Kool Urban - Ba lô Roller Trắng",1,0,visible,,"<h2>Ba Lô CLEVERHIPPO Kool Urban - Roller Trắng BKU5203/WHITE</h2>
\nBộ sưu ba lô KOOL URBAN đến từ thương hiệu Clever Hippo dành riêng cho các bạn trẻ năng động, cá tính, được thiết kế với các tông màu hiện đại và họa tiết ""on trend"", đi cùng kiểu dáng thời trang. Các sản phẩm trong KOOL URBAN chính là lựa chọn vô cùng phù hợp để đồng hành cùng bạn khám phá khắp nơi.
\nCác dòng ba lô thời trang còn có nhiều tính năng nổi bật:
\n- Trọng lượng siêu nhẹ, thiết kế năng động, thời trang, sử dụng được nhiều mục đích và trang phục khác nhau.
\n- Các ngăn chứa rộng rãi; với thiết kế thông minh mở nhanh từ bên hông giúp cất/lấy đồ nhanh chóng từ ba lô mà không cần mở ngăn chính phía trên như các ba lô thông thường khác
\n- Đựng vừa laptop 15 inches, thêm ngăn đựng cục sạc kèm theo, đảm bảo gọn gàng và an toàn cho các thiết bị điện tử của bạn
\n- Hỗ trợ 01 ngăn hông may vải kháng khuẩn giúp cất giữ khẩu trang an toàn.
\n- Có đệm lưng êm ái, thoáng khí ở phần lưng &amp; vai, giúp trợ lực &amp; tạo sự thoải mái khi sử dụng
\n- Chất liệu polyester trượt nước, dễ dàng vệ sinh.
\n- Kích thước sản phẩm: 12 x 30 x 39 (cm)
\n- Trọng lượng: 550g",,,taxable,,1,,,0,0,,,,,1,,538000,673000,"Đồ thời trang > Balo - Túi - Ví, Đồ thời trang",,,"http://localhost/ecomshop/wp-content/uploads/2023/11/bku5203_-1.jpg, http://localhost/ecomshop/wp-content/uploads/2023/11/bku5203_-2.jpg, http://localhost/ecomshop/wp-content/uploads/2023/11/bku5203_-3.jpg",,,,,,,,,0
34,simple,,"Vali trẻ em - Xe cứu hỏa Frank",1,0,visible,,"<h2><b>Vali trẻ em TRUNKI Xe cứu hỏa Frank 0254-GB01</b></h2>
\n<b>Vali trẻ em - Xe cứu hỏa Frank </b><b>Trunki </b><b>(</b>0254-GB01) được gia công từ chất liệu nhựa ABS cao cấp, chịu được va đập và có độ bền cao. Vali gây thu hút bởi thiết kế mô phỏng hình dáng <b>Xe cứu hỏa Frank</b> ngộ nghĩnh và sống động. Đặc biệt, các mép viền của sản phẩm có lót lớp cao su, hạn chế tình trạng bé bị kẹp tay khi đóng, mở.<b></b>
\n
\n- Có tem CE chứng nhận đủ chất lượng xuất khẩu vào các thị trường Âu Mỹ.
\n- Được gia công từ chất liệu nhựa ABS cao cấp, chịu được trọng lượng lên đến 50kg.
